Nationalität;Standort;Studierende
Österreich;Birkenfeld;2
Österreich;Idar-Oberstein;3
Österreich;Trier;5
Jemen;Birkenfeld;3
Jemen;Idar-Oberstein;0
Jemen;Trier;9
Afghanistan;Birkenfeld;2
Afghanistan;Idar-Oberstein;0
Afghanistan;Trier;5
Albanien;Birkenfeld;1
Albanien;Idar-Oberstein;1
Albanien;Trier;0
Armenien;Birkenfeld;0
Armenien;Idar-Oberstein;0
Armenien;Trier;2
Australien;Birkenfeld;0
Australien;Idar-Oberstein;2
Australien;Trier;0
Aserbaidschan;Birkenfeld;0
Aserbaidschan;Idar-Oberstein;0
Aserbaidschan;Trier;7
Belgien;Birkenfeld;2
Belgien;Idar-Oberstein;0
Belgien;Trier;14
Bangladesch;Birkenfeld;16
Bangladesch;Idar-Oberstein;0
Bangladesch;Trier;0
Burkina Faso;Birkenfeld;1
Burkina Faso;Idar-Oberstein;0
Burkina Faso;Trier;0
Bulgarien;Birkenfeld;1
Bulgarien;Idar-Oberstein;0
Bulgarien;Trier;5
Bosnien und Herzegowina;Birkenfeld;1
Bosnien und Herzegowina;Idar-Oberstein;0
Bosnien und Herzegowina;Trier;0
Bolivien;Birkenfeld;0
Bolivien;Idar-Oberstein;0
Bolivien;Trier;1
Brasilien;Birkenfeld;4
Brasilien;Idar-Oberstein;1
Brasilien;Trier;3
Weißrussland;Birkenfeld;1
Weißrussland;Idar-Oberstein;0
Weißrussland;Trier;3
Kongo (Dem.Republik);Birkenfeld;0
Kongo (Dem.Republik);Idar-Oberstein;0
Kongo (Dem.Republik);Trier;1
Kanada;Birkenfeld;0
Kanada;Idar-Oberstein;0
Kanada;Trier;1
Schweiz;Birkenfeld;1
Schweiz;Idar-Oberstein;0
Schweiz;Trier;1
Sri Lanka;Birkenfeld;5
Sri Lanka;Idar-Oberstein;0
Sri Lanka;Trier;4
Kolumbien;Birkenfeld;2
Kolumbien;Idar-Oberstein;0
Kolumbien;Trier;2
Costa Rica;Birkenfeld;1
Costa Rica;Idar-Oberstein;0
Costa Rica;Trier;0
Dänemark;Birkenfeld;0
Dänemark;Idar-Oberstein;0
Dänemark;Trier;2
Benin;Birkenfeld;0
Benin;Idar-Oberstein;0
Benin;Trier;1
Algerien;Birkenfeld;2
Algerien;Idar-Oberstein;0
Algerien;Trier;3
Spanien;Birkenfeld;1
Spanien;Idar-Oberstein;0
Spanien;Trier;14
Kenia;Birkenfeld;1
Kenia;Idar-Oberstein;0
Kenia;Trier;1
Tansania;Birkenfeld;1
Tansania;Idar-Oberstein;0
Tansania;Trier;0
Uganda;Birkenfeld;1
Uganda;Idar-Oberstein;0
Uganda;Trier;20
Ecuador;Birkenfeld;0
Ecuador;Idar-Oberstein;0
Ecuador;Trier;1
Eritrea;Birkenfeld;1
Eritrea;Idar-Oberstein;0
Eritrea;Trier;0
El Salvador;Birkenfeld;0
El Salvador;Idar-Oberstein;0
El Salvador;Trier;2
Ägypten;Birkenfeld;7
Ägypten;Idar-Oberstein;0
Ägypten;Trier;10
Äthiopien;Birkenfeld;2
Äthiopien;Idar-Oberstein;0
Äthiopien;Trier;0
Frankreich;Birkenfeld;3
Frankreich;Idar-Oberstein;0
Frankreich;Trier;10
Finnland;Birkenfeld;1
Finnland;Idar-Oberstein;0
Finnland;Trier;0
Fidschi;Birkenfeld;1
Fidschi;Idar-Oberstein;0
Fidschi;Trier;0
Vereinigtes Königreich;Birkenfeld;0
Vereinigtes Königreich;Idar-Oberstein;0
Vereinigtes Königreich;Trier;1
Georgien;Birkenfeld;1
Georgien;Idar-Oberstein;0
Georgien;Trier;1
Ghana;Birkenfeld;29
Ghana;Idar-Oberstein;1
Ghana;Trier;1
Äquatorialguinea;Birkenfeld;1
Äquatorialguinea;Idar-Oberstein;0
Äquatorialguinea;Trier;0
Griechenland;Birkenfeld;2
Griechenland;Idar-Oberstein;0
Griechenland;Trier;8
Guinea;Birkenfeld;0
Guinea;Idar-Oberstein;0
Guinea;Trier;1
Ungarn;Birkenfeld;0
Ungarn;Idar-Oberstein;1
Ungarn;Trier;1
Hongkong;Birkenfeld;1
Hongkong;Idar-Oberstein;0
Hongkong;Trier;1
Kroatien;Birkenfeld;0
Kroatien;Idar-Oberstein;0
Kroatien;Trier;2
Italien;Birkenfeld;6
Italien;Idar-Oberstein;0
Italien;Trier;12
Israel;Birkenfeld;1
Israel;Idar-Oberstein;0
Israel;Trier;2
Indien;Birkenfeld;27
Indien;Idar-Oberstein;1
Indien;Trier;198
Iran;Birkenfeld;11
Iran;Idar-Oberstein;9
Iran;Trier;17
Irland;Birkenfeld;0
Irland;Idar-Oberstein;1
Irland;Trier;1
Irak;Birkenfeld;4
Irak;Idar-Oberstein;0
Irak;Trier;7
Island;Birkenfeld;0
Island;Idar-Oberstein;0
Island;Trier;1
Japan;Birkenfeld;0
Japan;Idar-Oberstein;0
Japan;Trier;4
Jordanien;Birkenfeld;3
Jordanien;Idar-Oberstein;0
Jordanien;Trier;25
Kirgisistan;Birkenfeld;1
Kirgisistan;Idar-Oberstein;0
Kirgisistan;Trier;1
Kasachstan;Birkenfeld;2
Kasachstan;Idar-Oberstein;1
Kasachstan;Trier;2
Luxemburg;Birkenfeld;11
Luxemburg;Idar-Oberstein;0
Luxemburg;Trier;162
Libyen;Birkenfeld;0
Libyen;Idar-Oberstein;0
Libyen;Trier;2
Litauen;Birkenfeld;3
Litauen;Idar-Oberstein;1
Litauen;Trier;2
Marokko;Birkenfeld;15
Marokko;Idar-Oberstein;0
Marokko;Trier;65
Malaysia;Birkenfeld;2
Malaysia;Idar-Oberstein;0
Malaysia;Trier;1
Republik Moldau;Birkenfeld;1
Republik Moldau;Idar-Oberstein;0
Republik Moldau;Trier;0
Mexiko;Birkenfeld;12
Mexiko;Idar-Oberstein;0
Mexiko;Trier;4
Mongolei;Birkenfeld;1
Mongolei;Idar-Oberstein;0
Mongolei;Trier;3
Nordmazedonien;Birkenfeld;0
Nordmazedonien;Idar-Oberstein;0
Nordmazedonien;Trier;2
Mauritius;Birkenfeld;2
Mauritius;Idar-Oberstein;0
Mauritius;Trier;3
Myanmar;Birkenfeld;1
Myanmar;Idar-Oberstein;0
Myanmar;Trier;2
Norwegen;Birkenfeld;0
Norwegen;Idar-Oberstein;0
Norwegen;Trier;1
Namibia;Birkenfeld;1
Namibia;Idar-Oberstein;0
Namibia;Trier;0
Nepal;Birkenfeld;0
Nepal;Idar-Oberstein;0
Nepal;Trier;6
Niederlande;Birkenfeld;0
Niederlande;Idar-Oberstein;2
Niederlande;Trier;6
Ohne Angabe;Birkenfeld;1
Ohne Angabe;Idar-Oberstein;0
Ohne Angabe;Trier;1
Oman;Birkenfeld;1
Oman;Idar-Oberstein;0
Oman;Trier;0
Portugal;Birkenfeld;0
Portugal;Idar-Oberstein;0
Portugal;Trier;7
Peru;Birkenfeld;2
Peru;Idar-Oberstein;0
Peru;Trier;0
Pakistan, Islamische Rep.;Birkenfeld;27
Pakistan, Islamische Rep.;Idar-Oberstein;1
Pakistan, Islamische Rep.;Trier;18
Polen;Birkenfeld;1
Polen;Idar-Oberstein;0
Polen;Trier;10
Palästinens. Gebiete;Birkenfeld;1
Palästinens. Gebiete;Idar-Oberstein;0
Palästinens. Gebiete;Trier;2
Taiwan;Birkenfeld;3
Taiwan;Idar-Oberstein;1
Taiwan;Trier;9
Chile;Birkenfeld;2
Chile;Idar-Oberstein;0
Chile;Trier;1
Kamerun;Birkenfeld;10
Kamerun;Idar-Oberstein;0
Kamerun;Trier;28
Indonesien;Birkenfeld;6
Indonesien;Idar-Oberstein;0
Indonesien;Trier;77
Mauretanien;Birkenfeld;1
Mauretanien;Idar-Oberstein;0
Mauretanien;Trier;0
Kosovo;Birkenfeld;2
Kosovo;Idar-Oberstein;0
Kosovo;Trier;5
Libanon;Birkenfeld;0
Libanon;Idar-Oberstein;0
Libanon;Trier;5
Rumänien;Birkenfeld;2
Rumänien;Idar-Oberstein;0
Rumänien;Trier;7
Korea, Republik;Birkenfeld;0
Korea, Republik;Idar-Oberstein;1
Korea, Republik;Trier;2
Philippinen;Birkenfeld;3
Philippinen;Idar-Oberstein;0
Philippinen;Trier;2
Togo;Birkenfeld;0
Togo;Idar-Oberstein;0
Togo;Trier;2
Russische Föderation;Birkenfeld;10
Russische Föderation;Idar-Oberstein;1
Russische Föderation;Trier;16
Singapur;Birkenfeld;2
Singapur;Idar-Oberstein;0
Singapur;Trier;0
Slowenien;Birkenfeld;0
Slowenien;Idar-Oberstein;0
Slowenien;Trier;2
Somalia;Birkenfeld;0
Somalia;Idar-Oberstein;0
Somalia;Trier;1
Serbien;Birkenfeld;1
Serbien;Idar-Oberstein;0
Serbien;Trier;2
Südsudan;Birkenfeld;0
Südsudan;Idar-Oberstein;0
Südsudan;Trier;1
Staatenlos;Birkenfeld;0
Staatenlos;Idar-Oberstein;0
Staatenlos;Trier;6
Arabische Republ.Syrien;Birkenfeld;32
Arabische Republ.Syrien;Idar-Oberstein;0
Arabische Republ.Syrien;Trier;144
Tadschikistan;Birkenfeld;1
Tadschikistan;Idar-Oberstein;0
Tadschikistan;Trier;0
Thailand;Birkenfeld;2
Thailand;Idar-Oberstein;0
Thailand;Trier;1
Turkmenistan;Birkenfeld;1
Turkmenistan;Idar-Oberstein;0
Turkmenistan;Trier;0
Tunesien;Birkenfeld;5
Tunesien;Idar-Oberstein;0
Tunesien;Trier;7
Türkei;Birkenfeld;12
Türkei;Idar-Oberstein;1
Türkei;Trier;25
Ukraine;Birkenfeld;3
Ukraine;Idar-Oberstein;0
Ukraine;Trier;22
Vereinigte Arab. Emirate;Birkenfeld;2
Vereinigte Arab. Emirate;Idar-Oberstein;0
Vereinigte Arab. Emirate;Trier;0
Ungeklärt;Birkenfeld;0
Ungeklärt;Idar-Oberstein;0
Ungeklärt;Trier;2
Ver. Staaten von Amerika;Birkenfeld;6
Ver. Staaten von Amerika;Idar-Oberstein;0
Ver. Staaten von Amerika;Trier;9
Usbekistan;Birkenfeld;0
Usbekistan;Idar-Oberstein;0
Usbekistan;Trier;2
Vietnam;Birkenfeld;5
Vietnam;Idar-Oberstein;0
Vietnam;Trier;16
China (VR);Birkenfeld;117
China (VR);Idar-Oberstein;4
China (VR);Trier;19
Nigeria;Birkenfeld;10
Nigeria;Idar-Oberstein;1
Nigeria;Trier;10
St.Vincent u.d.Grenadines;Birkenfeld;1
St.Vincent u.d.Grenadines;Idar-Oberstein;0
St.Vincent u.d.Grenadines;Trier;0
Venezuela;Birkenfeld;0
Venezuela;Idar-Oberstein;1
Venezuela;Trier;2
Südafrika;Birkenfeld;0
Südafrika;Idar-Oberstein;0
Südafrika;Trier;1